IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,COM,Comoros,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.13,,,0.11,,0.15,0.13 [0.11 – 0.15],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.14,,,0,,0.52,0.14 [0 – 0.52],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.14,,,0.067,,0.23,0.14 [0.067 – 0.23],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.15,,,0.13,,0.18,0.15 [0.13 – 0.18],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.19,,,0.16,,0.22,0.19 [0.16 – 0.22],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.2,,,0.16,,0.23,0.2 [0.16 – 0.23],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.22,,,0.065,,0.47,0.22 [0.065 – 0.47],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Both sexes,BTSX,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.23,,,0,,0.88,0.23 [0 – 0.88],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.23,,,0.094,,0.41,0.23 [0.094 – 0.41],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.23,,,0.1,,0.4,0.23 [0.1 – 0.4],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.24,,,0.15,,0.35,0.24 [0.15 – 0.35],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.24,,,0.16,,0.31,0.24 [0.16 – 0.31],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.27,,,0.063,,0.63,0.27 [0.063 – 0.63],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.27,,,0.16,,0.38,0.27 [0.16 – 0.38],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.27,,,0.23,,0.3,0.27 [0.23 – 0.3],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.28,,,0.13,,0.48,0.28 [0.13 – 0.48],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,0.29,,,0.05,,0.73,0.29 [0.05 – 0.73],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.3,,,0.095,,0.63,0.3 [0.095 – 0.63],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,0.31,,,0.055,,0.8,0.31 [0.055 – 0.8],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.31,,,0.12,,0.66,0.31 [0.12 – 0.66],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.31,,,0.14,,0.59,0.31 [0.14 – 0.59],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.31,,,0.27,,0.35,0.31 [0.27 – 0.35],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.32,,,0.2,,0.47,0.32 [0.2 – 0.47],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.32,,,0.26,,0.37,0.32 [0.26 – 0.37],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.32,,,0.27,,0.36,0.32 [0.27 – 0.36],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.32,,,0.27,,0.36,0.32 [0.27 – 0.36],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Male,MLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.33,,,0,,1.27,0.33 [0 – 1.27],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.33,,,0.16,,0.55,0.33 [0.16 – 0.55],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.33,,,0.28,,0.37,0.33 [0.28 – 0.37],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TGO,Togo,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.33,,,0.28,,0.37,0.33 [0.28 – 0.37],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,0.34,,,0.06,,0.87,0.34 [0.06 – 0.87],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.35,,,0.18,,0.57,0.35 [0.18 – 0.57],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.35,,,0.28,,0.41,0.35 [0.28 – 0.41],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.35,,,0.29,,0.39,0.35 [0.29 – 0.39],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.35,,,0.3,,0.39,0.35 [0.3 – 0.39],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.36,,,0.1,,0.75,0.36 [0.1 – 0.75],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.36,,,0.13,,0.72,0.36 [0.13 – 0.72],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.36,,,0.15,,0.74,0.36 [0.15 – 0.74],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.36,,,0.22,,0.52,0.36 [0.22 – 0.52],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.37,,,0.07,,0.98,0.37 [0.07 – 0.98],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.37,,,0.15,,0.76,0.37 [0.15 – 0.76],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.37,,,0.3,,0.42,0.37 [0.3 – 0.42],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.37,,,0.32,,0.42,0.37 [0.32 – 0.42],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.38,,,0.32,,0.44,0.38 [0.32 – 0.44],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.39,,,0.14,,0.78,0.39 [0.14 – 0.78],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.4,,,0.26,,0.56,0.4 [0.26 – 0.56],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.4,,,0.33,,0.45,0.4 [0.33 – 0.45],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.4,,,0.33,,0.46,0.4 [0.33 – 0.46],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.4,,,0.33,,0.46,0.4 [0.33 – 0.46],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.41,,,0.18,,0.74,0.41 [0.18 – 0.74],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.41,,,0.2,,0.7,0.41 [0.2 – 0.7],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.41,,,0.34,,0.47,0.41 [0.34 – 0.47],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.41,,,0.35,,0.48,0.41 [0.35 – 0.48],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.42,,,0.16,,0.84,0.42 [0.16 – 0.84],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.42,,,0.22,,0.61,0.42 [0.22 – 0.61],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.42,,,0.35,,0.5,0.42 [0.35 – 0.5],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.42,,,0.36,,0.49,0.42 [0.36 – 0.49],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.43,,,0.21,,0.72,0.43 [0.21 – 0.72],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.43,,,0.36,,0.48,0.43 [0.36 – 0.48],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.44,,,0.24,,0.69,0.44 [0.24 – 0.69],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.44,,,0.34,,0.53,0.44 [0.34 – 0.53],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Male,MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.44,,,0.36,,0.52,0.44 [0.36 – 0.52],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.44,,,0.37,,0.5,0.44 [0.37 – 0.5],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,0.45,,,0.053,,1.27,0.45 [0.053 – 1.27],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,COG,Congo,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.45,,,0.34,,0.55,0.45 [0.34 – 0.55],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.45,,,0.37,,0.53,0.45 [0.37 – 0.53],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.46,,,0.39,,0.52,0.46 [0.39 – 0.52],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.47,,,0.29,,0.68,0.47 [0.29 – 0.68],,,EN,2022-08-26T07:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,0.47,,,0.4,,0.52,0.47 [0.4 – 0.52],,,EN,2022-08-26T07:00:00.000Z
